1266 3
426 0 1.000000
426 1 0.000000
426 2 0.000000
427 0 1.000000
427 1 0.000000
427 2 0.000000
428 0 1.000000
428 1 0.000000
428 2 0.000000
429 0 1.000000
429 1 0.000000
429 2 0.000000
430 0 1.000000
430 1 0.000000
430 2 0.000000
431 0 1.000000
431 1 0.000000
431 2 0.000000
432 0 1.000000
432 1 0.000000
432 2 0.000000
433 0 1.000000
433 1 0.000000
433 2 0.000000
434 0 1.000000
434 1 0.000000
434 2 0.000000
435 0 1.000000
435 1 0.000000
435 2 0.000000
436 0 1.000000
436 1 0.000000
436 2 0.000000
437 0 1.000000
437 1 0.000000
437 2 0.000000
438 0 1.000000
438 1 0.000000
438 2 0.000000
439 0 1.000000
439 1 0.000000
439 2 0.000000
440 0 1.000000
440 1 0.000000
440 2 0.000000
441 0 1.000000
441 1 0.000000
441 2 0.000000
442 0 1.000000
442 1 0.000000
442 2 0.000000
443 0 1.000000
443 1 0.000000
443 2 0.000000
444 0 1.000000
444 1 0.000000
444 2 0.000000
445 0 1.000000
445 1 0.000000
445 2 0.000000
446 0 1.000000
446 1 0.000000
446 2 0.000000
447 0 1.000000
447 1 0.000000
447 2 0.000000
448 0 1.000000
448 1 0.000000
448 2 0.000000
449 0 1.000000
449 1 0.000000
449 2 0.000000
450 0 1.000000
450 1 0.000000
450 2 0.000000
451 0 1.000000
451 1 0.000000
451 2 0.000000
452 0 1.000000
452 1 0.000000
452 2 0.000000
453 0 1.000000
453 1 0.000000
453 2 0.000000
454 0 1.000000
454 1 0.000000
454 2 0.000000
455 0 1.000000
455 1 0.000000
455 2 0.000000
456 0 1.000000
456 1 0.000000
456 2 0.000000
457 0 1.000000
457 1 0.000000
457 2 0.000000
458 0 1.000000
458 1 0.000000
458 2 0.000000
459 0 1.000000
459 1 0.000000
459 2 0.000000
460 0 1.000000
460 1 0.000000
460 2 0.000000
461 0 1.000000
461 1 0.000000
461 2 0.000000
462 0 1.000000
462 1 0.000000
462 2 0.000000
463 0 1.000000
463 1 0.000000
463 2 0.000000
464 0 1.000000
464 1 0.000000
464 2 0.000000
465 0 1.000000
465 1 0.000000
465 2 0.000000
466 0 1.000000
466 1 0.000000
466 2 0.000000
467 0 1.000000
467 1 0.000000
467 2 0.000000
468 0 1.000000
468 1 0.000000
468 2 0.000000
469 0 1.000000
469 1 0.000000
469 2 0.000000
470 0 1.000000
470 1 0.000000
470 2 0.000000
471 0 1.000000
471 1 0.000000
471 2 0.000000
472 0 1.000000
472 1 0.000000
472 2 0.000000
473 0 1.000000
473 1 0.000000
473 2 0.000000
474 0 1.000000
474 1 0.000000
474 2 0.000000
475 0 1.000000
475 1 0.000000
475 2 0.000000
476 0 1.000000
476 1 0.000000
476 2 0.000000
477 0 1.000000
477 1 0.000000
477 2 0.000000
478 0 1.000000
478 1 0.000000
478 2 0.000000
479 0 1.000000
479 1 0.000000
479 2 0.000000
480 0 1.000000
480 1 0.000000
480 2 0.000000
481 0 1.000000
481 1 0.000000
481 2 0.000000
482 0 1.000000
482 1 0.000000
482 2 0.000000
483 0 1.000000
483 1 0.000000
483 2 0.000000
484 0 1.000000
484 1 0.000000
484 2 0.000000
485 0 1.000000
485 1 0.000000
485 2 0.000000
486 0 1.000000
486 1 0.000000
486 2 0.000000
487 0 1.000000
487 1 0.000000
487 2 0.000000
488 0 1.000000
488 1 0.000000
488 2 0.000000
489 0 1.000000
489 1 0.000000
489 2 0.000000
490 0 1.000000
490 1 0.000000
490 2 0.000000
491 0 1.000000
491 1 0.000000
491 2 0.000000
492 0 1.000000
492 1 0.000000
492 2 0.000000
493 0 1.000000
493 1 0.000000
493 2 0.000000
494 0 1.000000
494 1 0.000000
494 2 0.000000
495 0 1.000000
495 1 0.000000
495 2 0.000000
496 0 1.000000
496 1 0.000000
496 2 0.000000
497 0 1.000000
497 1 0.000000
497 2 0.000000
498 0 1.000000
498 1 0.000000
498 2 0.000000
499 0 1.000000
499 1 0.000000
499 2 0.000000
500 0 1.000000
500 1 0.000000
500 2 0.000000
501 0 1.000000
501 1 0.000000
501 2 0.000000
502 0 1.000000
502 1 0.000000
502 2 0.000000
503 0 1.000000
503 1 0.000000
503 2 0.000000
504 0 1.000000
504 1 0.000000
504 2 0.000000
505 0 1.000000
505 1 0.000000
505 2 0.000000
506 0 1.000000
506 1 0.000000
506 2 0.000000
507 0 1.000000
507 1 0.000000
507 2 0.000000
508 0 1.000000
508 1 0.000000
508 2 0.000000
509 0 1.000000
509 1 0.000000
509 2 0.000000
510 0 1.000000
510 1 0.000000
510 2 0.000000
511 0 1.000000
511 1 0.000000
511 2 0.000000
512 0 1.000000
512 1 0.000000
512 2 0.000000
513 0 1.000000
513 1 0.000000
513 2 0.000000
514 0 1.000000
514 1 0.000000
514 2 0.000000
515 0 1.000000
515 1 0.000000
515 2 0.000000
516 0 1.000000
516 1 0.000000
516 2 0.000000
517 0 1.000000
517 1 0.000000
517 2 0.000000
518 0 1.000000
518 1 0.000000
518 2 0.000000
519 0 1.000000
519 1 0.000000
519 2 0.000000
520 0 1.000000
520 1 0.000000
520 2 0.000000
521 0 1.000000
521 1 0.000000
521 2 0.000000
522 0 1.000000
522 1 0.000000
522 2 0.000000
523 0 1.000000
523 1 0.000000
523 2 0.000000
524 0 1.000000
524 1 0.000000
524 2 0.000000
525 0 1.000000
525 1 0.000000
525 2 0.000000
526 0 1.000000
526 1 0.000000
526 2 0.000000
527 0 1.000000
527 1 0.000000
527 2 0.000000
528 0 1.000000
528 1 0.000000
528 2 0.000000
529 0 1.000000
529 1 0.000000
529 2 0.000000
530 0 1.000000
530 1 0.000000
